,tweets,words,
4346, Clara and the Doctor in Doctor Who Finale Prequel [VIDEO] http://t.co/9Kr8iRhPvm via @onswipe,clara doctor doctor finale prequel video via,Non-Medical
4347, A top Berlin hospital plans to investigate the conduct of drug trials in the former East Germany amid allegations that some patients were..,top berlin hospital plans investigate conduct drug trials former east germany amid allegations patients,Non-Medical
4350," I actually am about to go to the hospital place <tweepy.models.Place object at 0x0291F750> coordinates {u'type': u'Point', u'coordinates': [-95.72357965, 29.90345457]}",actually hospital,Non-Medical
4351," @KirsteninMT Kind of shows the need for reciprocal medical cannabis laws. Health, liberty - neither know borders.",reciprocal medical cannabis laws health liberty neither borders,Non-Medical
4352," Btw, Nathan's fine. He's at the hospital for another family member.",btw nathans fine hes hospital family,Non-Medical
4353, *picks up The Doctor sonic and tries it out* oooh soo cool!,picks doctor sonic tries oooh soo cool,Non-Medical
4361, @NFPandMe Thankful for people like you in medical field! We need more! Praying for you!,thankful people medical field praying,Non-Medical
4362, I'm no doctor but Poppa Baer is starting to act like himself a little bit now. #goodsignihope,doctor poppa baer starting act little bit #goodsignihope,Non-Medical
4365, @TheRealLahori seriously i hvn't seen him in ages...heard he is busy with his mother in hospital,seriously hv seen agesheard busy mother hospital,Non-Medical
4367," The doctor had to use the children's blood pressure thing on my arm since my arms are \the size of an 8yr old\"". Fun.""",doctor childrens blood pressure arm arms size fun,Non-Medical
4369, @AlresfordBear @DonnaNewcross I agree #NurChat Mum had fab hospital care - we prepped for it well in advance,agree #nurchat mum fab hospital care prepped advance,Non-Medical
4370, @JadeTSPRP Jade..Baby..I'm so sorry..I was in the hospital,jadebabyi sorryi hospital,Non-Medical
4372," My Medical Choice, via @nytimes http://t.co/IYTFbUcapT",medical choice via,Non-Medical
4374, Mabey going to the hospital in a little to get on monitor.,mabey hospital little monitor,Non-Medical
4375," @daniellerusnak this is me for any doctor, or anyone ever",doctor,Non-Medical
4376, I liked a @YouTube video http://t.co/lRXbtF7etP Doctor Who - The 50th Anniversary BBC One Trailer,liked video doctor anniversary bbc trailer,Non-Medical
4377, or doctor who,doctor,Non-Medical
4378, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/GVvXAZR9zO,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
4381, Here's what I don't get about all this garbage -- there are tests now.  Real medical tests.  I have no idea how... http://t.co/RLMR0eZ3h5,heres garbage tests real medical tests idea,Non-Medical
4383, Bored waiting for her doctor to finish delivering a baby https://t.co/Gi02bUukXY,bored waiting doctor finish delivering baby httpstcogi02buukxy,Non-Medical
4384," So jealous, i wanna be with you guys ?? RT @Njoodi: Dinner at Hakkasan with our future doctor @Noufie__ ?",jealous wanna guys dinner hakkasan future doctor,Non-Medical
4385, I'm just gonna go to the hospital and cry till they agree to take my baby out,gonna hospital cry till agree baby,Non-Medical
4386, @brianking118 he's still alive but barely. Still in the hospital... Would say he has about a 20% shot to make it,hes alive barely hospital shot,Non-Medical
4387," A church is a hospital for sinners, not a museum for saints.",church hospital sinners museum saints,Non-Medical
4389, Are you really gonna be that asshole who speaks loudly on the phone in a hospital waiting room? Really dude?,gonna asshole speaks loudly phone hospital waiting dude,Non-Medical
4390, Thank goodness for technology. Just got in contact with my old Jersey pediatrician to fax over my immunization record to the hospital.,thank goodness technology contact jersey pediatrician fax immunization record hospital,Non-Medical
4391, There is no emoji for O2 tank or suction. #Medical #Artists could make  an app.,emoji o2 tank suction #medical #artists app,Non-Medical
4392, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/HMnug7epQB,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
4393, No lunch cause I had to bring my brother to the doctor #effmylife,lunch cause bring brother doctor #effmylife,Non-Medical
4396, Qualifications of medical expert witnesses come under fire - http://t.co/XfT8O613uh,qualifications medical expert witnesses fire,Non-Medical
4397, Will exchange users have to have medical homes? http://t.co/jrWonngi90,exchange users medical homes,Non-Medical
4398, @JasKhella have they let you out of hospital?,hospital,Non-Medical
4399, Justin is in the hospital?,justin hospital,Non-Medical
4400, Hairaway Canada uses the most advanced hair removal medical lasers available at its clinic in beautiful Unionville.,hairaway canada advanced hair removal medical lasers available clinic beautiful unionville,Non-Medical
4402," @Variety_DSCohen Sorry, I just can't. Sorry, Doctor Who fans. I'm just not one of you.",sorry ca sorry doctor fans,Non-Medical
4403," Tue, 14 May 2013 14:30:00 EDT http://t.co/jL77td35hF Break in at doctor's office, customer records removed http://t.co/dGRUwWNeMX #Rayco...",tue edt break doctors office customer records removed #rayco,Non-Medical
4404, Have u ever wondered if the reason a doctor or nurse is walking so fast in the hospital is because they have to pee really bad?? Lol,wondered reason doctor nurse walking fast hospital pee bad lol,Non-Medical
4405, Doctor said I got high blood pressure prolly cause people annoy the fuk out of me,doctor blood pressure prolly cause people annoy fuk,Non-Medical
4406," @PiranSanders good :) i'm okay thanks. Yeah, i know, i don't think i've seen you since september or october. I've been in hospital for p ...",okay thanks yeah seen september october hospital,Non-Medical
4407," @tytymandingo oenvirnment, as in hospital, as in shitty nurses forcing everyone to do things they cant, pressure pressure pressure",oenvirnment hospital shitty nurses forcing cant pressure pressure pressure,Non-Medical
4409, Rabbit: Are you sure this bottle of special carrot juice will cure me? Doctor: Absolutely. No rabbit ever came back for another.,rabbit bottle special carrot juice cure doctor absolutely rabbit,Non-Medical
4410, #imagine you're taken to a hospital before a concert &amp; Austin tried to perform but he couldnt stop thinking about you... So he cried.,#imagine hospital concert austin tried perform couldnt stop thinking cried,Non-Medical
4412, My Medical Choice http://t.co/wgMY2lAQF0,medical choice,Non-Medical
4413, Bri's pulled some bloke in the hospital! ?? Can't leave him anywhere !!,bris pulled bloke hospital ca leave,Non-Medical
4416, And to think I was a lil bothered he wasn't at my graduation and to find out he was in the hospital for surgery man..,lil bothered graduation hospital surgery,Non-Medical
4417, So sad to hear about Doctor Mallinson - such a lovely teacher,sad hear doctor mallinson lovely teacher,Non-Medical
4418, \an apple a day,apple day doctor doctor hot dont apple anymore cant believe senator wills ay haha,Non-Medical
4420, Doctor who in class!,doctor class,Non-Medical
4421, @britainscastiel @pippa21336 Could have been a medical emergency!,medical emergency,Non-Medical
4423," Pine Valley Hospital is the cleanest hospital I've ever seen... I don't have the urge to bathe in Purell when I \visit.\""""",pine valley hospital cleanest hospital seen urge bathe purell visit,Non-Medical
4424, At the hospital.. Great,hospital,Non-Medical
4425, Found a great article when researching one if my many medical problems: Loss of cervical lordosis - http://t.co/cxOdtYg7bO #EDS,found article researching medical loss cervical lordosis #eds,Non-Medical
4426, My Medical Choice http://t.co/XRxMkJ74mi,medical choice,Non-Medical
4427, Telling my dad about what I do at the hospital he borks like mad,telling dad hospital borks mad,Non-Medical
4428, Old lady at the doctor said my mom raised me right. #FeatherInMyCap,lady doctor mom raised #featherinmycap,Non-Medical
4430," My doctor tried to tell me I'm 5'8\ . I told her she lying . Took my Tims off &amp; I was 5'7\""""",doctor tried tell told lying tims,Non-Medical
4431," RT says Saturday's Doctor Who \will leave us gagging for the 50th anniversary\"". We're not gonna find out his name are we! #TeasingBastards""",saturdays doctor leave gagging anniversary gonna name #teasingbastards,Non-Medical
4432, RVN Required At Hospital In Essex / Earls Hall Veterinary Group http://t.co/oS62YEykCc via @Vetclick,rvn required hospital essex earls hall veterinary via,Non-Medical
4433," She think Im in the NBA why a dude cant have his MBA? You so tall what team do u play for? No bitch I'm a doctor Flow hella proper #urs2 place <tweepy.models.Place object at 0x0292CBD0> coordinates {u'type': u'Point', u'coordinates': [-70.34463068, 41.65769687]}",im nba dude cant mba tall team play bitch doctor flow hella proper #urs2,Non-Medical
4434, My Medical Choice http://t.co/adFBdMTbmo,medical choice,Non-Medical
4436, I liked a @YouTube video http://t.co/mPj2JOhcSD You Found Me - Doctor/Rose - Doctor Who,liked video found doctorrose doctor,Non-Medical
4439, Hoping to do teaching on #transgender rights and how to help when in hospital.. #stigma #discrimination #ignorance  ideas please! C&amp;J,hoping teaching #transgender rights help hospital #stigma #discrimination #ignorance ideas please campj,Non-Medical
4441, I hate going to the doctor.,hate doctor,Non-Medical
4442, All this medical stuff we have to take to Malawi with us.. I'm going to be so confused. Don't even know what half the stuff is for lol.,medical stuff malawi confused half stuff lol,Non-Medical
4446, “@noahelliotshaw: Rory :(((( Amy :((((( The Doctor :((((” DON'T,rory amy doctor,Non-Medical
4448," BREAKING: VIDEO: Abortion \Doctor\"" Yanked Out Parts of Living Baby Piece by Piece http://t.co/AJnyjLCRzp @lifedynamicsinc""",breaking video abortion doctor yanked living baby piece piece,Non-Medical
4450," 975 provides transparency and accountability, real charity care to every hospital http://t.co/HbBs0zgglo",provides transparency accountability real charity care hospital,Non-Medical
4451, When your mother has to go to see your dad in hospital to have a joint meeting with the doctors #sad #theend,mother dad hospital joint meeting doctors #sad #theend,Non-Medical
4452, Q8 Doc-paying attention. Patient-being honest RT @_TheFix Q8 What is the doctor's responsibility and what is the patient's? #rxchat,q8 docpaying attention patientbeing honest q8 doctors responsibility patients #rxchat,Non-Medical
4454, I usually go to the doctor with my mommy but ill try by my self this time??,usually doctor mommy ill try self time,Non-Medical
4455," The thing that gets me is there are people in the medical field who specialize in analyzing ya shit, animals too..",people medical field specialize analyzing ya shit animals,Non-Medical
4459, Photoset: Doctor who? http://t.co/SM2U7o3o8P,photoset doctor,Non-Medical
4460, Marketing Your Community Hospital to Women on Facebook http://t.co/6NEOIfuNzy,marketing community hospital women facebook,Non-Medical
4461, @SHONBARZ lmao thanks doctor Phil lmaoo,lmao thanks doctor phil lmaoo,Non-Medical
4462, @ginandjudgment what doctor schedules a surgery on the weekend?  I've never been able to do that.,doctor schedules surgery weekend able,Non-Medical
4463, @GrahamNY Doctor Phil?!  http://t.co/Vkx3KqzarP,doctor phil,Non-Medical
4465," Diaporama : My dear Doctor: the path has never seemed more slow, and yet I fear I am nearing its end. Reason... http://t.co/MIhtdBmYKu",diaporama dear doctor path slow fear nearing reason,Non-Medical
4466," @second_truth Eric and I are realizing that, as gay men, it's hard to see this as anything other than a medical issue. It's much more",eric realizing gay hard medical issue,Non-Medical
4467, @AmandaHopkinz Doctor Who?,doctor,Non-Medical
4468, Oído al pasar: me: I don't believe in happy endings my dad: because you watch too much doctor who http://t.co/NwYxFFAvii,oído al pasar believe happy endings dad watch doctor,Non-Medical
4469," I hate you, I hate you and I hate your face and I hate your medical condition @TourHere",hate hate hate hate medical condition,Non-Medical
4470," @GeekAndDad @MarkusN agreed, hope SCOTUS does right by patients   and medical researchers",agreed hope scotus patients medical researchers,Non-Medical
4472, @emmamordenxx yes! That sounds like a plan :) are you catching the bus to the hospital?? Xxxx,sounds plan catching bus hospital xxxx,Non-Medical
4473," MetroWest Medical Center 2013 Compassionate Caregiver Award Finalist, Lori Maloney!  Click the link to watch.... http://t.co/7WapDat3ag",metrowest medical center compassionate caregiver award finalist lori maloney click link watch,Non-Medical
4475, My doctor is that fuckin nigga!!!,doctor fuckin nigga,Non-Medical
4478, He gets taken to a hospital together with him. ##bot,hospital ##bot,Non-Medical
4479," Like someone needs to do the job I suppose but how does one make that decision? \Imma go to medical school to study shit!!!\"" Mufucka what?""",job suppose decision imma medical school study shit mufucka,Non-Medical
4480, @RachHasHope me too have that sinking feeling that its going to end up with a visit to the hospital :( trying everything I can to control it,sinking feeling visit hospital trying control,Non-Medical
4481, Just launched! New #paranormal #mystery &amp; #detective #medical #thriller! Haunted From Within. http://t.co/qhBIsGLzJe Scary.  #happy,launched #paranormal #mystery #detective #medical #thriller haunted scary #happy,Non-Medical
4482, Just launched! New #paranormal #mystery &amp; #detective #medical #thriller! Haunted From Within. http://t.co/Pi5S5zkcUa Scary.  #happy,launched #paranormal #mystery #detective #medical #thriller haunted scary #happy,Non-Medical
4484, Oh joy doctor time. Let's see if jazmines head is truly messed up or not.,oh joy doctor time jazmines head truly messed,Non-Medical
4487, @silooo makntsh arfa arud waalahe knt at the hospital .. Ill talk to yu later isaa am srry,makntsh arfa arud waalahe knt hospital ill talk yu isaa srry,Non-Medical
4488, The only thing I don't like about Martha is how she kind of throws herself at the Doctor,martha throws doctor,Non-Medical
4489, I can't listen to a lecture on early homonids and not think of Friends. And then I made the jump to Doctor Who. What does this say about me?,ca listen lecture homonids friends jump doctor,Non-Medical
4490," BREAKING: VIDEO: Abortion \Doctor\"" Yanked Out Parts of Living Baby Piece by Piece http://t.co/ZYgNKxPRLZ @michellemalkin @dloesch @rsmccain""",breaking video abortion doctor yanked living baby piece piece,Non-Medical
4494, @adrianna4279 meeeeee. I rarely go to the hospital. My doctor moved somewhere else.,meeeeee rarely hospital doctor moved else,Non-Medical
4497, Working for a doctor def has its perks but fuuuuu I wanna be outside soaking up this beautiful weather!!,doctor def perks fuuuuu wanna outside soaking beautiful weather,Non-Medical
4498, (No booked rooms)RT @ritz_mgot_33: Heard Harlem hospital giving out beds,booked roomsrt heard harlem hospital giving beds,Non-Medical
4503, this lady at my doctor was talking to me about piercings and tattoos.,lady doctor talking piercings tattoos,Non-Medical
4506, after i got my tonsils out when i was 9 the doctor told my mother until the age of like 18 i would be sick with colds/flus etc all the time,tonsils doctor told mother age sick coldsflus etc time,Non-Medical
4508, Earned Drip Doctor Badge on JouleBug http://t.co/NlpZPP5ofi,earned drip doctor badge joulebug,Non-Medical
4510, I'm raising money for Help Miss Emily with Medical Needs  . Click to Donate: http://t.co/qz25SlZM8s #gofundme,raising money help miss emily medical click donate #gofundme,Non-Medical
4511, You are welcome to take notes and ask the Doctor questions during the Q&amp;A period after her presentation. #NAACPMeeting,welcome notes doctor questions qampa period presentation #naacpmeeting,Non-Medical
4514, somepretty-things: xxxyoloswagxxx: i really like matt smith’s doctor but i really don’t like moffat’s doctor... http://t.co/uNgMEdJAgE,someprettythings xxxyoloswagxxx matt smith’ doctor don’ moffat’ doctor,Non-Medical
4515," @EnishaAli hahaha, what a shame Chris is in hospital as well so couldn't see our final defeat haha, miss out;)",hahaha shame chris hospital final defeat haha miss,Non-Medical
4520," when the State Champion White Ash was felled at the state Hospital, it split right down the middle.  was not much... http://t.co/L7RSmIxga5",champion white ash felled hospital split middle,Non-Medical
4521," @grd400 was at the hospital, goin back in on 3rd June to have a thyroid gland removed :((",hospital goin june thyroid gland removed,Non-Medical
4523, Still in the hospital,hospital,Non-Medical
4524, Photoset: Doctor Who: 50th Anniversary BAFTA Tribute http://t.co/za3sMIJtCq,photoset doctor anniversary bafta tribute,Non-Medical
4526, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/0Y5j8UBl51,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
4527," Why do people sleep about, get infections, happily goes on tv to show it. Dont sleep with people that have more infectioms than a hospital!!",people sleep infections happily goes tv dont sleep people infectioms hospital,Non-Medical
4528, @sydbiebs didn't you go to the hospital ?,hospital,Non-Medical
4529, &amp; so did that abortion doctor,abortion doctor,Non-Medical
4532, chillin in the doctor's office.,chillin doctors office,Non-Medical
4533, Seeing a group of respiratory therapists on a smoke break outside the hospital is just so awesome,seeing respiratory therapists smoke break outside hospital awesome,Non-Medical
4537, @natemurphy9 I hope not otherwise I might be posted up on the patio with my laptop and medical books haha,hope otherwise posted patio laptop medical books haha,Non-Medical
4541, @ricecracker79 My doctor just happens to be on call at the hospital on Saturday and said she would schedule it,doctor happens call hospital saturday schedule,Non-Medical
4542, BBC News - Doctor Who plea after US DVD error http://t.co/R3HOzla0LA,bbc news doctor plea dvd error,Non-Medical
4548, A neat event for Women's Health Week - Dinner with a Doctor Lecture on Women's Health-Pelvic Pain/Fertility and YOUhttp://1.usa.gov/12kVm0u,neat event womens health week dinner doctor lecture womens healthpelvic painfertility youhttp1usagov12kvm0u,Non-Medical
4549, Does anyone have connections with the Levine's Children Hospital?  Let's say if I wanted to start donating... http://t.co/XEhM6zkorz,connections levines children hospital start donating,Non-Medical
4551, Man I hate seein people I kno in the hospital...especially children...praying my niece get better soon,hate seein people kno hospitalespecially childrenpraying niece soon,Non-Medical
4552, Broken bones : - DO NOT attempt to bandage if medical assistance in on its way .  #NAME?,broken bones attempt bandage medical assistance #name,Non-Medical
4553," BREAKING: VIDEO: Abortion \Doctor\"" Yanked Out Parts of Living Baby Piece by Piece http://t.co/vXzAs8HeZx @Travesham @JosiahRyan @MaxLucado""",breaking video abortion doctor yanked living baby piece piece,Non-Medical
4555, Iris: A Home Birth Story — It was like the hospital but more comfy. #homebirth http://t.co/O4RoGLabX8,iris home birth story — hospital comfy #homebirth,Non-Medical
4556, @_LaurenPike Lauren I think you need to go to the doctor. You have a different ailment every night #Sick,lauren doctor ailment night #sick,Non-Medical
4559, @BrooksBeau im in the hospital. Can you hug me?,im hospital hug,Non-Medical
4563, Hahahahahahahaha!!! She wishes I was that shallow Shem!! RT @christiansmit: dr_yummymummy sit down doctor she has a Birkin. @kaysexwale”,hahahahahahahaha wishes shallow shem dryummymummy sit doctor birkin,Non-Medical
4566, Been at the hospital all day haven't eaten since 10am now going out with the fam for some fish n chips #finally #woop #grimsby,hospital day eaten fam fish chips #finally #woop #grimsby,Non-Medical
4567, T2 My doctor had no idea what was wrong after almost 30 years &amp; numerous docs - found 1 who ruled out all AI issues - hence #celiac #HAChat,t2 doctor idea wrong numerous docs found ruled ai issues hence #celiac #hachat,Non-Medical
4568, Jst left the doctor .,jst left doctor,Non-Medical
4571, That game of thrones is probably the worst thing ever made. It's only competition would be doctor who,game thrones probably worst competition doctor,Non-Medical
4573, @RyanErikKing The scary thing is Jean will get re-elected unopposed. I'll admit medical delegate is my dream job...valuable lessons learned.,scary jean reelected unopposed ill admit medical delegate dream jobvaluable lessons learned,Non-Medical
4574," Forget that! Playing doctor is for kids, let's play gynecologist... Hahahaha!",forget playing doctor kids play gynecologist hahahaha,Non-Medical
4576, The California Supreme Court Confirms The Power Of Local Governments To Regulate Medical... http://t.co/Xh7eo06a7I | by @SedgwickLLP,california supreme court confirms power local governments regulate medical,Non-Medical
4577," This is not a good idea. Starting the old series of Doctor Who from the beginning. Yes, there are missing episodes. Yes, I am mad",idea starting series doctor beginning missing episodes mad,Non-Medical
4578, Forgot I had a doctors appointment.  Doctor laughed at my superman underwear....,forgot doctors appointment doctor laughed superman underwear,Non-Medical
4580," You need a doctor baby, you scared?",doctor baby scared,Non-Medical
4583," I'm at East Meadow Animal Hospital (East Meadow, NY) http://t.co/v1OH071Mb4",east meadow animal hospital east meadow ny,Non-Medical
4584, Medical matters: Vaccine holds the key to making measles a thing of the past     http://t.co/UAvI07kddF,medical matters vaccine holds key measles past,Non-Medical
4585, so upset the last doctor who is this weekend,upset doctor weekend,Non-Medical
4586, Dumb! Drunk ASU student left at hospital with Post-it note (and a .47 alcohol content) http://t.co/VOlBqLdTPR (via @azcentral),dumb drunk asu student left hospital postit note alcohol content via,Non-Medical
4587, Hospital fun https://t.co/sJRAhqMTiM,hospital fun httpstcosjrahqmtim,Non-Medical
4589," When a doctor, even one as adorable as @eriripyon, describes sex as \that touching thing\"" you have to wonder about the education system.""",doctor adorable describes sex touching wonder education system,Non-Medical
4590, anybody taking medical terminology?,taking medical terminology,Non-Medical
4596," My MedicAlert bracelet says \Make sure the hospital room has HBO.\""""",medicalert bracelet hospital hbo,Non-Medical
4597, Wonder what they did with angelia jolies tittys bet the doctor had a suck when everyone had gone home got them out the bin,wonder angelia jolies tittys bet doctor suck gone home bin,Non-Medical
4598, @article82 @danielgwj not every case of IBS has a medical cause. Less ethical but more interesting would be effects on cancer or infection.,ibs medical cause ethical effects cancer infection,Non-Medical
4599," My dad wants me to go back to the hospital. If you want the best for me, that's the last place to get the best.",dad hospital thats,Non-Medical
4600," To help Cuban medical teams in #Cuba as well as other Latin &amp; Caribbean countries, please donate to Global Links:  http://t.co/bcWAj6yvrm",help cuban medical teams #cuba latin caribbean countries please donate global links,Non-Medical
4603, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/RutGUUNv5A,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
4604, RIVERVIEW: Student spearheads drive raising awareness of autism - via http://t.co/N7fNNfMXfL,riverview student spearheads drive raising awareness autism via,Non-Medical
4607," @cumbergasm Doctor Who. As much as I love and am obsessed with Sherlock, Doctor Who is beyond any other tv shows",doctor love obsessed sherlock doctor beyond tv,Non-Medical
4608," RT @guypbenson: Obamacare layoffs at MO hospital: http://t.co/NWhE3PN7y9  \This all stems from the Affordable Care Act\""""",obamacare layoffs mo hospital stems affordable care act,Non-Medical
4615, Doctor Who cast: David Tennant http://t.co/3ryPK51AXl,doctor cast david tennant,Non-Medical
4616," VIDEO: Abortion \Doctor\"" Yanked Out Parts of Living Baby Piece by Pi | http://t.co/0e9Qxuour1 http://t.co/j7204d8RkX""",video abortion doctor yanked living baby piece pi,Non-Medical
4617," @joeymc011 ... why would I shoot a man, and drive him to the hospital ... it defeats the point of having f***** shot him in the first place!",shoot drive hospital defeats shot,Non-Medical
4619," Example, Doctor:\how is your head Female patient: \""What would you say if I told you the man i loved kicked my child to death in my stomach?\""""",example doctorhow head female patient told loved kicked child death stomach,Non-Medical
4620," @dbailey107 no but holy crap we get that all the time. Or it's 1:55 \When will they be up here? Their doctor's appointment's at 2.\"" ?? place <tweepy.models.Place object at 0x0292CE30> coordinates {u'type': u'Point'",holy crap time doctors appointments,Non-Medical
4623, Off to the doctor ??,doctor,Non-Medical
4625, I'm Toooo High In The Hospital Right Now..,toooo hospital,Non-Medical
4626, Been at this doctor since 1:30!,doctor,Non-Medical
4628," Anemone caught a ballerina bug during her recital weekend. She's on the couch and asking for Doctor Who. (By the way, she was AWESOME!)",anemone caught ballerina bug recital weekend shes couch doctor awesome,Non-Medical
4629, Thats light!  RT @ritz_mgot_33: Heard Harlem hospital giving out beds,thats light heard harlem hospital giving beds,Non-Medical
4630," @MartinMcGinley Checked in on #4sq &amp; the first \tip\"" is that this is the worst @HiltonHotels in the world - it resembles a Soviet hospital""",checked #4sq tip worst world resembles soviet hospital,Non-Medical
4633, In dis dam hospital ready to go,dis dam hospital ready,Non-Medical
4636, My doctor today was called 'mr bender' lmfao,doctor called amr bender lmfao,Non-Medical
4637," Of courseeeee Kim's doctor would be delivering a baby right before he sees us, and now we wait...",courseeeee kims doctor delivering baby wait,Non-Medical
4639, I want to go to practice. Screw this doctor crap,practice screw doctor crap,Non-Medical
4640," I already lost 3kg because of this! Can it stop?! I don't wanna end up in hospital, thank.",lost stop wanna hospital thank,Non-Medical
4641, Daaaaaaaaaaaaa en 5 al doctor !,daaaaaaaaaaaaa al doctor,Non-Medical
4644, Doctor. Seuss~ Moms and dads are simply old kids combined with problem together with your ex.,doctor seuss moms dads simply kids combined ex,Non-Medical
4647, Does anyone have connections with the Levine's Children Hospital? Let's say if I wanted to start donating... http://t.co/AIVcfHt7HN,connections levines children hospital start donating,Non-Medical
4648," Feminem, (slim lady) with doctor Dre, who is a gynecologist in this scenario. I'm going back to bed now.",feminem slim lady doctor dre gynecologist scenario bed,Non-Medical
4650, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/Yks4b6TYtk,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
4651, I feel to stay home tomorrow man I need a doctor??????,feel stay home tomorrow doctor,Non-Medical
4652, One morning at a doctor's office a patient arrives complaining of serious back-pain. The doctor examines him and... http://t.co/HNANsaRn7b,morning doctors office patient arrives complaining serious backpain doctor examines,Non-Medical
4653, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/ra2jr0PKAr,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
4654, @peterubel doctor - I think that's the wrong link.,doctor thats wrong link,Non-Medical
4655, @_a_muse Ok I just saw that he is a doctor. Scary.,ok doctor scary,Non-Medical
4656," Might as well go to the hospital, this shit hurt.",hospital shit hurt,Non-Medical
4657, Photo: I just unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on GetGlue 2973 others... http://t.co/Rl4YNRcVNm,photo unlocked doctor countdown season finale days sticker getglue,Non-Medical
4661, I'm so thankful my sisters home from the hospital and her surgery went great! I love her so much! @haugenjen,thankful sisters home hospital surgery love,Non-Medical
4662, Preferably at the nursing home or hospital! ??,preferably nursing home hospital,Non-Medical
4663, Waiting for hospital to discharge my mom ready to go home and sleep in my bed such a long nite,waiting hospital discharge mom ready home sleep bed nite,Non-Medical
4664, Finally out the doctor.,finally doctor,Non-Medical
4665, Guess that's the move when I get out this doctor office smh,guess thats move doctor office smh,Non-Medical
4668, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/2SFHUjxfJC,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
4670, Ughhhh getting a medical done for boxing is probably in the top 5 things I fucking hate,ughhhh getting medical boxing probably top fucking hate,Non-Medical
4672, Doctor Doctor.. Do you think your surname influenced the choice of your career?,doctor doctor surname influenced choice career,Non-Medical
4673, @adamcarolla as I was lying deathly ill in the hospital for the last 6 days. Listening to you nonstop kept me happy and positive.,lying deathly ill hospital days listening nonstop kept happy positive,Non-Medical
4677," The Paulsons Come To The Hospital&amp;Doctors All The Time .-. place <tweepy.models.Place object at 0x0292CEB0> coordinates {u'type': u'Point', u'coordinates': [-83.20725202, 42.28868365]}",paulsons hospitalampdoctors time,Non-Medical
4678, Taking my kids from work to the doctor is literally the easiest overtime money I can make. No complaints about work from me today! :),taking kids doctor literally easiest overtime money complaints,Non-Medical
4679, Minister Reilly announces Hospital Groups http://t.co/eQ6kJPKhr1,minister reilly announces hospital,Non-Medical
4682," I already lost 3kg because of this! Can it stop?! I don't wanna end up in hospital, thanks.",lost stop wanna hospital thanks,Non-Medical
4683, Proof of Heaven: A Doctor’s Experience With the Afterlife http://t.co/CYXO0tlVgv vía @newsweek,proof heaven doctor’ experience afterlife vía,Non-Medical
4684, she looks like that doctor from holby city  #eurovision,looks doctor holby city #eurovision,Non-Medical
4686, @District321D woahh Katie's dads driving us now and he's taking her sis to the hospital first so going there after,woahh katies dads driving hes taking sis hospital,Non-Medical
4687, Hate leaving lily and mum in hospital:(,hate leaving lily mum hospital,Non-Medical
4688," \@Shes_sweetNsour: @BlindByThisx3 what you tryna study?\"" somwthing in the medical field""",tryna study somwthing medical field,Non-Medical
4689, Yeah for hospital visits ???? https://t.co/hQFpEvYq4S,yeah hospital visits httpstcohqfpevyq4s,Non-Medical
4691," #watching Doctor Who (2005) 7x12 \Nightmare in Silver\"" http://t.co/cqOTrJjfnp""",#watching doctor nightmare silver,Non-Medical
4693," @lishmz_xoxo I don't fuckin know dude. All I know is I have been sitting in the hospital for 4 hours and I'm hungry place <tweepy.models.Place object at 0x0291F550> coordinates {u'type': u'Point', u'coordinates': [-84.118634, 40.74160774]}",fuckin dude sitting hospital hours hungry,Non-Medical
4701, Shit. How come I have missed every Doctor Who episode from this series? #waybehind,shit missed doctor episode series #waybehind,Non-Medical
4702, Though I'm not particularly fond of the time that we almost put ourselves in hospital with home pyrotechnics.,particularly fond time hospital home pyrotechnics,Non-Medical
4703, @MadmanInAFez \THIS IS NO ACT OF KIND-NESS,act kindness main rolled center looking doctor,Non-Medical
4704, @allie_barnard “look n the mirrors &amp; smile &amp; repeats after doctor me:im a lil cutie &amp; i deserv delicious treats im a lil cutie &amp; stuff”,look mirrors smile repeats doctor meim lil cutie deserv delicious treats im lil cutie stuff,Non-Medical
4705," @portalplayeru @2006Gilleyt how could youuuu :( HAHAHA, throw me down still need treat meals hor! And remember pay my medical fees :)",youuuu hahaha throw treat meals hor remember pay medical fees,Non-Medical
