,Tweets,words,
7652, wondeer how long the new Doctor on holby is gunna be around for? @semadivad place <tweepy.models.Place object at 0x0291F650>,wondeer doctor holby gunna,Medical
7655, Not a fan of Brangelina but interesting to read Angelina Jolie's letter about her decision -  http://t.co/EGRR5JhR68,fan brangelina read angelina jolies letter decision,Medical
7659," I really don't understand embarrassing bodies - you're too ashamed to go to the doctor, yet will talk about whatever it is on tv??!",understand embarrassing bodies ashamed doctor talk whatever tv,Medical
7661, @RebeccaBolton_ middle of your stomach and press and u can insert it into the gap if so! Ask your doctor xxxx,middle stomach press insert gap doctor xxxx,Medical
7662," too embarrassed to go to a doctor, yet you'll get it all out on national TV in front of millions. yeh makes sense! #EmbarrassingBodies",embarrassed doctor youll national tv front millions yeh makes sense #embarrassingbodies,Medical
7665, Austrian man saws off his arm. Drives self (and arm) to hospital to get it reattached.  #Chucknorris has a brother??. http://t.co/OYepxApx2i,austrian saws arm drives self arm hospital reattached #chucknorris brother,Medical
7673, “@MelonMatt: I died today and electro man was born. #hospital #live cable #lawnmower” #plonker,died electro born #hospital #live cable #lawnmower #plonker,Medical
7679," OB-GYN @DoctorStreicher, a member of our LHJ Medical Advisory Board, weighs in on Angelina Jolie's decision. http://t.co/PdffB3uoij",obgyn lhj medical advisory board weighs angelina jolies decision,Medical
7688, this episode is weird even for a doctor who episode,episode weird doctor episode,Medical
7693, Going to the hospital today was not a plan,hospital plan,Medical
7707, Doctor then Calhoun with my bebe Sista :) yay,doctor calhoun bebe sista yay,Medical
7711," marketing...go team go! (@ Spalding Medical Center) http://t.co/fHvR3SnirH place <tweepy.models.Place object at 0x0292CE30> coordinates {u'type': u'Point', u'coordinates': [-84.25959669, 33.96754961]}",marketinggo team spalding medical center,Medical
7712, Asking about medical problems online is not recommended...,medical online recommended,Medical
7715," You score 38 in utme and you want to study medicine... You're not even qualified to be a native doctor........\""
",score utme study medicine qualified native doctor,Medical
7720, My dad laying in a hospital bed concussed with 4 staples in his head telling me he's going back farming tomorrow #yeahright #igotthisdad,dad laying hospital bed concussed staples head telling hes farming tomorrow #yeahright #igotthisdad,Medical
7724, @Estill_Soccer I have to go to the doctor again for my knees before I can start conditioning.,doctor knees start conditioning,Medical
7725, Shut that mill road women's down didn't they... Brought some scouters into the world that mill road hospital #fatherRobertsQuote,shut mill road womens brought scouters world mill road hospital #fatherrobertsquote,Medical
7729, At the doctor,doctor,Medical
7734, Gut microbe battles obesity: (Medical Xpress)—Akkermansia muciniphila is one of the many microbes that live in... http://t.co/C2FkloIokL,gut microbe battles obesity medical xpress—akkermansia muciniphila microbes live,Medical
7737, My Medical Choice - http://t.co/FNuvaH32ep,medical choice,Medical
7739," When ppl post that they're in the hospital, but don't tell anyone when they ask... Lol",ppl post hospital tell lol,Medical
7740, Beyonce Cancels Belgium Show Under Doctor's Orders - ABC News http://t.co/ZbsB7rk7d9 (via @ABC),beyonce cancels belgium doctors abc news via,Medical
7741, Watching doctor who has been so weird haven't seen these episodes since  I was like 9...,watching doctor weird seen episodes,Medical
7746," Nigga, I'm doctor Phil",nigga doctor phil,Medical
7748," Social Media Marketing Advice, According To Doctor Who http://t.co/WOOjZyIMYW http://t.co/5AqCEjLcZZ http://t.co/SDHgrRsmvs",social media marketing advice according doctor,Medical
7749, MT @futuretrust: St. Vincent Indianapolis Hospital rated A in Patient Safety Score by Leapfrog Group. http://t.co/Tk3mlGk9cw,mt st vincent indianapolis hospital rated patient safety score leapfrog,Medical
7753, TriStar Wellness Solutions completes acquisition of HemCon Medical ... http://t.co/gCCf4wejPc #pdx,tristar wellness solutions completes acquisition hemcon medical #pdx,Medical
7755, I wonder if my mom has ordered my Doctor Who DVDs yet,wonder mom doctor dvds,Medical
7756," Went to the doctor, and I asked her, to make this stop. Got medication, a new addiction, Fucking thanks a lot.",doctor stop medication addiction fucking thanks lot,Medical
7757," @SeriousPimp Yo! Homie \Trust Me I'm A Doctor\"" was my Grandad's all time favourite sayin' brought back so many memory's wit' this #Chuuuch""",yo homie trust doctor grandads time favourite sayin brought memorys wit #chuuuch,Medical
7760, Why go on tv with your illnesses but not your own doctor if they're that embarrassing #peopleareweird #embarrassingbodies,tv illnesses doctor embarrassing #peopleareweird #embarrassingbodies,Medical
7764, bc she doesnt need a hulu account to watch general hospital so its $8 a month wasted,bc doesnt hulu account watch hospital month wasted,Medical
7766, @Rebecca_NE Rebecca Me Too Busy Am. Had A Procedure Done At Hospital Very Early Am And Home Early Afternoon. But Doing Ok!! Tweet Me Luv u,rebecca busy procedure hospital home afternoon ok luv,Medical
7770, Florida Hospital's Milk Depot is a simple idea that could save tiny lives. http://t.co/TrHGZlGypB,florida hospitals milk depot simple idea save tiny lives,Medical
7772, Headed to the hospital at 5:00 I'm scared AF,headed hospital scared af,Medical
7773," my dad said i need to go see a doctor because i don't want him in my room while im trying to sleep, perfect sense gtfo .",dad doctor im trying sleep perfect sense gtfo,Medical
7781, At HOSPITAL ??,hospital,Medical
7782," neeeeeeeeeed to get better/less ill, feels entirely ironic that I'm on a medical/health related science course",neeeeeeeeeed betterless ill feels entirely ironic medicalhealth related science course,Medical
7783," @SimonsCricket \Well... the 'doctor' AI says it's just stress. You're going to be fine.\"" *rubs her belly slowly",doctor ai stress fine rubs belly slowly gently,Medical
7784, Florida:  Large Hospital Hiring Advanced Trained IM/Oncology Clinical Pharmacist - email your resume to Kay@ridgemontresources.com,florida hospital hiring advanced trained imoncology clinical pharmacist email resume kayiiidddiiidddridgemontresourcescom,Medical
7785," Women are often dismissed by  the #medical profession, #listenin to see how you can #speakup!  http://t.co/SjyJignCEd #advocate #symptoms",women dismissed #medical profession #listenin #speakup #advocate #symptoms,Medical
7787, Photoset: Doctor who? http://t.co/yIg12vX7zQ,photoset doctor,Medical
7791," @JanessaGooden THAT'S WHAT MINE SAYS!! She's like \okay well I'll be visiting you in the hospital when you have skin cancer in 30 years\""""",thats mine shes okay ill visiting hospital skin cancer,Medical
7795, @AndrewParrish7 I am watching Keeping Britain Alive The NHS love medical programmes right up my street x,watching keeping britain alive nhs love medical programmes street,Medical
7800, aw wait demi has to get her tonsils put idk why but that's so cute imagine her in a hospital gown all sensitive and in her emotions omg,aw wait demi tonsils idk thats cute imagine hospital gown sensitive emotions omg,Medical
7801," Wow “@AP: Parents sue hospital, state for removing male genitalia of intersex child (@MegKinnardAP): http://t.co/yPwXqUlgqY -SS”",wow parents sue hospital removing male genitalia intersex child ss,Medical
7802, I want doctor Phil to analyze my life.,doctor phil analyze life,Medical
7806, St. Jude Medical kicks off renal denervation device study http://t.co/xPTMt3M6tS,st jude medical kicks renal denervation device study,Medical
7808, I hate when my dad brings me to the doctor...,hate dad brings doctor,Medical
7811, omg i just found out that my bestie from school was in hospital cause she fell into a thorn bush.....,omg found bestie school hospital cause fell thorn bush,Medical
7813, At the doctor getting shot super scared #scared http://t.co/bqclkfgV0X,doctor getting shot super scared #scared,Medical
7815, I've been waiting for 2 hrs to see a doctor :/  #chestpains #hospital,waiting hrs doctor #chestpains #hospital,Medical
7816," Cost of hospital stay in 2000: $17,390. Cost of hospital stay in 2010: $33,079.",cost hospital stay cost hospital stay,Medical
7817, Medical School Enrollment on Pace to Reach 30 Percent Increase by 2017 http://t.co/wWevAAUwLp #AAMC #moremedicalstudents,medical school enrollment pace reach percent increase #aamc #moremedicalstudents,Medical
7818," #cybersecurity Hospital Employee, Accomplice Plead Guilty to Using Patient Information for Tax Fraud http://t.co/xWSKEqC1Rq #infosec",#cybersecurity hospital employee accomplice plead guilty using patient information tax fraud #infosec,Medical
7822, @PaulDaly90 ... And he'd still pass the medical #FerFuckSake,hed pass medical #ferfucksake,Medical
7830, The guy in Frankie is Shakespeare out of The Shakespeare Code in Doctor Whoooooo,guy frankie shakespeare shakespeare code doctor whoooooo,Medical
7833, the imaginarium of doctor parnassus,imaginarium doctor parnassus,Medical
7834, Survival Medical Supplies http://t.co/7KduJGmI8v,survival medical supplies,Medical
7835, My dad is the definition of that black man. Refuses to go to the hospital even though he can barely move!,dad definition black refuses hospital barely move,Medical
7839," Finna Leave The Hospital,  i'm Hungry Af's... .",finna leave hospital hungry afs,Medical
7841," @SHORTMRSB Sue, How is your daughter doing? Is she home from the hospital with your sweet granddaughter? :)",sue daughter home hospital sweet granddaughter,Medical
7843," Yõµ ? go medical sch but Yõµ wan B doc,Yõµ ? go law sch &amp; Yõµ wan B lawyer,Yõµ ? walker &amp; Yõµ wan dey there,how e go happen?? #2face ask so",yõ medical sch yõ wan docyõ law sch yõ wan lawyeryõ walker yõ wan dey therehow happen #2face,Medical
7845, I'm at the doctor in a fuckin paper robe this is just no,doctor fuckin paper robe,Medical
7846, Omg new doctor Harry is just perfect #holby,omg doctor harry perfect #holby,Medical
7847, Interview at MRI tomorrow for medical secretary job - eeekkkk!,interview mri tomorrow medical secretary job eeekkkk,Medical
7849, 'Robin' is getting sexually abused by Doctor Kristian! He's got his finger up his arse-ole.  #embarrassingbodies,robin getting sexually abused doctor kristian hes finger arseole #embarrassingbodies,Medical
7855, My Medical Choice by Angelina Jolie about her decision to have a double mastectomy http://t.co/Qy7ZBYjy3k,medical choice angelina jolie decision double mastectomy,Medical
7858, Tonight party w/ the Witch Doctor on the 51st floor at Voodoo Rooftop Lounge @RioVegas #Vegas - http://t.co/WigI4P79cY,tonight party witch doctor floor voodoo rooftop lounge #vegas,Medical
7861," @DamienJames I'm free all the time, except hospital tomorrow :( place <tweepy.models.Place object at 0x0292CF10> coordinates {u'type': u'Point', u'coordinates': [-3.67884346, 51.53268932]}",free time except hospital tomorrow,Medical
7863," One hospital charges $8,000 — another, $38,000 http://t.co/ARQfuhf047",hospital charges —,Medical
7866," @SuzannaG Hey Suzanna, sorry to hear about your sinuses! Have you ever had a doctor look at them to see if it may be something serious?  :)",hey suzanna sorry hear sinuses doctor look serious,Medical
7873, I'll tell you what they need more if on BBC 1... Medical program's. Jesus!,ill tell bbc medical programs jesus,Medical
7880," #VirginiaBeach Call Center Representative - Children's Hospital of the King's Daughters - Norfolk, VA http://t.co/1iW7bhZIxG",#virginiabeach call center representative childrens hospital kings daughters norfolk va,Medical
7881, Scene from 4000 Blk of Prescott Ave. in Dayton; shooting has sent 3 men to nearby Good Sam. Hospital http://t.co/MC9kU7ZYZO,scene blk prescott ave dayton shooting sent nearby sam hospital,Medical
7884, The Doctor Is In is out! http://t.co/guk8oypevH,doctor,Medical
7888, Beyonce Cancels Belgium Concert Due to Exhaustion:  Doctor's orders to take a break further fuels preg... http://t.co/Zxt1i6d2v5,beyonce cancels belgium concert due exhaustion doctors break fuels preg,Medical
7889, I liked a @YouTube video http://t.co/zzYnHOYAil Man Cuts off Arm - Drives Ten Miles to Hospital!,liked video cuts arm drives ten miles hospital,Medical
7890," I want a Lawyer or Doctor place <tweepy.models.Place object at 0x0292CF10> coordinates {u'type': u'Point', u'coordinates': [-80.1367353, 26.5999159]}",lawyer doctor,Medical
7895, #LiveWire Beyonce Cancels Belgium Concert Due to Exhaustion:  Doctor's orders to take... http://t.co/qy5gOQArRk #LiveWireRecords,#livewire beyonce cancels belgium concert due exhaustion doctors #livewirerecords,Medical
7897, #LiveWire Beyonce Cancels Belgium Concert Due to Exhaustion:  Doctor's orders to take... http://t.co/gnuPzDNZkY #LiveWireRecords,#livewire beyonce cancels belgium concert due exhaustion doctors #livewirerecords,Medical
7900, This NHS programme is already making me want to be a doctor/nurse even more #dreamjob,nhs programme doctornurse #dreamjob,Medical
7903, Deeply moved and inspired by Jolie's Op-Ed today http://t.co/mKaR4b8vS5,deeply moved inspired jolies oped,Medical
7904, @AP @MegKinnardAP how was the child put in the hospital and operated with out the parents permission in the first place,child hospital operated parents permission,Medical
7906, @LiberalCanuck yep. And that was just the hospital bill. The doctor services are billed later.,yep hospital bill doctor services billed,Medical
7908, Hospital Tomorrow If That Shit Dont Stop.!,hospital tomorrow shit dont stop,Medical
7909, Applied for like 3 medical assisting jobs today.,applied medical assisting jobs,Medical
7910," “@NicGro_15: @be3fs_fiction I've had a boner all week wtf is this real life” call a doctor, read the label.",boner week wtf real life call doctor read label,Medical
7911, Per Capita Expenditure On Medical Devices Grew 33.9% Between 2006 and 2011 http://t.co/I9Uv1VApRf #medicaldevices,capita expenditure medical devices grew #medicaldevices,Medical
7912, Beyonce Cancels Belgium Concert Due to Exhaustion:  Doctor's orders to take a break further fuels preg... http://t.co/P9xpJEjsNT,beyonce cancels belgium concert due exhaustion doctors break fuels preg,Medical
7915, @Noah_Burch you need to go to the doctor..,doctor,Medical
7916, #RT Beyonce Cancels Belgium Concert Due to Exhaustion:  Doctor's orders to take a... http://t.co/tacUoyFqd8 #FB&gt;&gt;@TweetMeAndGain,# beyonce cancels belgium concert due exhaustion doctors #fbgtgtiiidddiiidddtweetmeandgain,Medical
7920, Cannot be arsed for hospital tmoro. Having my heart checked every 2 years is the longest thing ev! Worst experience of ma life tbf LOL,arsed hospital tmoro heart checked ev worst experience ma life tbf lol,Medical
7922, @Real_Liam_Payne I'm going to hospital tomorrow :( please follow me I love you so much &lt;3,hospital tomorrow please follow love lt3,Medical
7924," Obama needs Mac \the spin doctor\"" Maharaj RT\""@News24: Tide of scandal threatens White House http://t.co/5bULOJ9QQS” place <tweepy.models.Place object at 0x0292CBD0> coordinates {u'type': u'Point'",obama mac spin doctor maharaj rtiiidddiiidddnews24 tide scandal threatens white house,Medical
7925," My doctor is such a DILF place <tweepy.models.Place object at 0x0292CBD0> coordinates {u'type': u'Point', u'coordinates': [-117.53284846, 33.8704881]}",doctor dilf,Medical
7927, Beyonce Cancels Belgium Concert Due to Exhaustion:  Doctor's orders to take a break further fuels preg... http://t.co/q28eU7IJOX,beyonce cancels belgium concert due exhaustion doctors break fuels preg,Medical
7928, General Hospital has officially confused me.,hospital officially confused,Medical
7930," #Healtchare #Jobs | Healthcare Professional - Healthcare Professional at Medical Express (Dallas, TX) | http://t.co/RdnmLkSGpx",#healtchare #jobs healthcare professional healthcare professional medical express dallas tx,Medical
7933, So angry I missed the GSA thing to god to the doctor??,angry missed gsa god doctor,Medical
7935," May as well make myself comfy (@ Grace Hospital) http://t.co/NmEmzsBAE0 place <tweepy.models.Place object at 0x0291F770> coordinates {u'type': u'Point', u'coordinates': [-97.27676868, 49.88224746]}",comfy grace hospital,Medical
7936," Ahhhh, the hospital gown. The great equalizer.",ahhhh hospital gown equalizer,Medical
7942, @Red_3Hunna: Nigga you kno my grandma in the hospital,nigga kno grandma hospital,Medical
7945, Do I want to watch the Girl in the Fireplace episode of Doctor Who before bed?,watch girl fireplace episode doctor bed,Medical
7947," Committee on Veterans and Legal Affairs debating liquor contract...moving closer to hospital debt deal place <tweepy.models.Place object at 0x0291F630> coordinates {u'type': u'Point', u'coordinates': [-69.78174602, 44.30747829]}",committee veterans legal affairs debating liquor contractmoving closer hospital debt deal,Medical
7950, This doctor office so slow.,doctor office slow,Medical
7951," I have a fetish for stationary, hardware, scientific glassware and historic medical tools. My eBay purchase list must look so suspicious! :P",fetish stationary hardware scientific glassware historic medical tools ebay purchase list look suspicious,Medical
7952," Love getting to the hospital at 4 and still being here now. #acetuesdaynight place <tweepy.models.Place object at 0x0292CFF0> coordinates {u'type': u'Point', u'coordinates': [-3.0212692, 53.8236108]}",love getting hospital #acetuesdaynight,Medical
7955, I been sittin on the phone for 20 mins tryin to talk to my dad ? like how long does it take the hospital to transfer a call!,sittin phone mins tryin talk dad hospital transfer call,Medical
7957," Only a faggot doctor wld perform a precaution or preemptive surgery !Poor Angelina  ! u ,I &amp; all Women are living in a very pervert world !",faggot doctor wld perform precaution preemptive surgery poor angelina women living pervert world,Medical
7959, Imagine Charlotte as a doctor oh my,imagine charlotte doctor oh,Medical
7966, Doctor says I shouldn't play with a hurt wrist? Scored 5 goals anyways.,doctor play hurt wrist scored goals anyways,Medical
7969," @SharonKinlin @Pathway2Death @rusticrobin yes, so what 'capacity for error' precludes the use of a medical intervention, in your view, then?",capacity error precludes medical intervention view,Medical
7970, @drmarkporter @MrspOppins2012 I used to work for Harley Medical Group - vile,harley medical vile,Medical
7972," @KayleeCorreia @_samanthapilch_ I don't know you, but don't joke about cutting or being in the hospital for it. I was there too. fuck off.",joke cutting hospital fuck,Medical
7973," @number1weedguy @princenkhan @sportstweetss My mum is surgeon,my aunties and uncles are doctors. My grandad was a doctor ;) iknow enough",mum surgeonmy aunties uncles doctors grandad doctor iknow,Medical
7980," @ArethaFranklin , thinking about you, love you Re Re, successful &amp; quick recovery with your treatments from the doctor",thinking love re re successful quick recovery treatments doctor,Medical
7981," Let me tell you, as somebody with a \This is as good as it will ever be\"" medical vision condition",tell medical vision condition getting lasik spam mail annoys,Medical
7983," My Medical Choice, Angelina's struggle NYT http://t.co/ubDysyliQh @fercaba",medical choice angelinas struggle nyt,Medical
7987, Very powerful!!!  http://t.co/DgqiUbKTSX,powerful,Medical
7988," @petrosoniak for serious pre hospital traumas and airways- I always want  at least one IO. High flow rates and mechanical security place <tweepy.models.Place object at 0x0292C370> coordinates {u'type': u'Point', u'coordinates': [-88.951296, 42.4564228]}",serious pre hospital traumas airways io flow rates mechanical security,Medical
7990," Wow, brave and powerful. Angelina continues to amaze. http://t.co/I4Yx7Y5UoK",wow brave powerful angelina continues amaze,Medical
7991, If i get shot w / a shot gun IN Both knee caps INFRONT Of mtvernon hospital im Draggin myself too st johns in yonkers !!!,shot shot gun knee caps infront mtvernon hospital im draggin st johns yonkers,Medical
7996, Lord let my wife be a medical doctor :),lord wife medical doctor,Medical
7997, She's a doctor and this is her patient. http://t.co/LJ29x5qICJ,shes doctor patient,Medical
7998, Much respect to Angelina Jolie. My Medical Choice http://t.co/cZJCOWq5J1,respect angelina jolie medical choice,Medical
8001, \@AP: Parents sue hospital,parents sue hospital removing male genitalia intersex child ss reassignment wrong,Medical
8012, honestly don't know how people stay in hospital for months I was there for a day and went madddd,honestly people stay hospital months day madddd,Medical
8013, GOD KEEP ON BLESSIN ME MY BBY GOT THE PINK EYE BT NO MEDICAL &amp; SHE JUS GOT HA MEDICAL TODAY YESS,god blessin bby pink eye bt medical jus ha medical yess,Medical
8017, Someone call a doctor cause I've lost my mind,call doctor cause lost mind,Medical
8018, Beyonce Cancels Belgium Show Under Doctor's Orders http://t.co/bRZvZqHNM8,beyonce cancels belgium doctors,Medical
8019, Finals week brings doctor appointments - for my heart.  Here's hoping she doesn't take away my coffee!,finals week brings doctor appointments heart heres hoping coffee,Medical
8028, @kathlayyyne I'm at a hospital eating food hahahahaha???? #thestruggle but I'm on my way home http://t.co/iMmlNmWos5,hospital eating food hahahahaha #thestruggle home,Medical
8029, Medical Examiner ID's man found in Medina River #sanantonio http://t.co/8CcWgSV1Gv,medical examiner ids found medina river #sanantonio,Medical
8033, Wish the doctors would stop booking me appoitment with the bitch doctor! #horrible #cruel,wish doctors stop booking appoitment bitch doctor #horrible #cruel,Medical
8034, Safdarjung hospital resident doctors go on mass leave http://t.co/2GjN70tRMB,safdarjung hospital resident doctors mass leave,Medical
8037, Was in the middle of watching doctor who ffs,middle watching doctor ffs,Medical
8038, Safdarjung hospital resident doctors go on mass leave http://t.co/QDZJ9P96iX,safdarjung hospital resident doctors mass leave,Medical
8041, Just waiting around the doctor's snog box.. it IS a snog box :) http://t.co/qmfM1PEmH3,waiting doctors snog box snog box,Medical
8046, Poorly baby has a chest infection. Been given antibiotics and hoping that we manage to avoid a hospital admission x,poorly baby chest infection antibiotics hoping manage avoid hospital admission,Medical
8050, angelina jolie's op-ed piece in the NY Times. http://t.co/YTtk1JZU11 whole new respect and admiration for her sharing her story.,angelina jolies oped piece ny times respect admiration sharing story,Medical
8051," David tennant regenerating on doctor who, is the saddest part in TV history",david tennant regenerating doctor saddest tv history,Medical
8053, I need a doctor &lt;3,doctor lt3,Medical
8054, Medical Device Integration… Are your vitals connected???  - #fb http://t.co/p4StGI5N6a  #biometrics #developmentexperts #EMR,medical device integration… vitals connected #fb #biometrics #developmentexperts #emr,Medical
8055, @alaska_foster There's a big ass scar up on my forehead - it'll fade with time is what the doctor said - *sure :'(*,theres ass scar forehead itll fade time doctor,Medical
8058, 'if you don't like nina you need a doctor bc you are just blind.' damn you nugget head what do you think? I must like her bc she's pretty?,nina doctor bc blind damn nugget head bc shes pretty,Medical
8067, @GavTheScav @KayBayBayYo my doctor wants me to stay home. I sprained both my ankles and my knee.,doctor stay home sprained ankles knee,Medical
8070," Broward women admit using Boca Raton hospital patients' IDs in tax fraud: Two Broward women, including one who... http://t.co/GFXlI9jBof",broward women admit using boca raton hospital patients ids tax fraud broward women including,Medical
8073," @LouisLittlee Will do, everyone is saying I stamped on his head but I didn't. I'm not in tomorrow going hospital for xrays.",saying stamped head tomorrow hospital xrays,Medical
8076, @Deadman97 he was in hospital on his acid comedown. You see that shit?,hospital acid comedown shit,Medical
8079, #AnAppleADay keeps the doctor away- Now stop trending this hashtag. There! I gave you the answer.,#anappleaday doctor stop trending # answer,Medical
8080, @KentonRudeBoii I've been in the hospital since 4 pm yesterday.,hospital pm yesterday,Medical
8084," Interesting - Social Media Marketing Advice, According To Doctor Who http://t.co/BGW9HmQPoK #marketing",social media marketing advice according doctor #marketing,Medical
8086, If I don't live to 80 it's cuz someone killed me over my Tweets I'm on pace to live to 85 according to my doctor,live cuz killed tweets pace live according doctor,Medical
8087, Biggest lie of all time: The doctor will be with you in a few minutes.,biggest lie time doctor minutes,Medical
8088, Being Deborah Patta's camera man must come with a very high medical aid premium,deborah pattas camera medical aid premium,Medical
8094, Pulling up to my doctor tho,pulling doctor tho,Medical
8095," Reading Hospital Joins Johns Hopkins Clinical Research Network - 5/14/13: Reading Hospital, an affiliate membe... http://t.co/SaicPlkTvA",reading hospital joins johns hopkins clinical research network reading hospital affiliate membe,Medical
8096," Reading Hospital Joins Johns Hopkins Clinical Research Network - 5/14/13: Reading Hospital, an affiliate membe... http://t.co/XnXz4YyeFV",reading hospital joins johns hopkins clinical research network reading hospital affiliate membe,Medical
8098, Reading Hospital Joins Johns Hopkins Clinical Research Network - 5/14/13 http://t.co/hXkY4gYzON via @HopkinsMedicine,reading hospital joins johns hopkins clinical research network via,Medical
8100," @ApCraigWright *He stands in the room next to a tray of medical instruments* \You can't rush science. Please sit down.\""""",stands tray medical instruments ca rush science please sit,Medical
8105, Going to see my uncle in the hospital,uncle hospital,Medical
8106," Roses are blue, Violets are red, I'm colorblind, call a doctor.",roses blue violets red colorblind call doctor,Medical
8111," When your doctor at the hospital calls you a \tough little character\""",doctor hospital calls tough little character thanks please tthe needle knee #ouch,Medical
8115, @JulianKirby thanks mate. You can call me doctor from know on. ;-),thanks mate call doctor,Medical
8116, Good news from my doctor i've no more thyroid &amp; only slight anemia bad news i fell yesterday whilst dizzy &amp; almost did again 2day #bckigo,news doctor thyroid slight anemia bad news fell yesterday whilst dizzy #bckigo,Medical
8124, Here's hoping... (@ Arsenio Medical) http://t.co/JVylQpImts,heres hoping arsenio medical,Medical
8131, I liked a @YouTube video http://t.co/nLL9dDQwxb Man Cuts off Arm - Drives Ten Miles to Hospital!,liked video cuts arm drives ten miles hospital,Medical
8133, @Here4You_x they do when you get back from a mental hospital...,mental hospital,Medical
8136, Claxton hospital bound. Later everyoneeeeee,claxton hospital bound everyoneeeeee,Medical
8139," @MercyRuled I have this on first hand knowledge, Adam feigned injury to go on holiday, all the medical team were aware of it and Kenny....",hand knowledge adam feigned injury holiday medical team aware kenny,Medical
8149, #random I use a lot of medical terminology at my job it makes me feel smart!!! Lol,#random lot medical terminology job makes feel smart lol,Medical
8151, Get the Big Eight straight! http://t.co/p94p8TUbvX The Great 8-Medical Procedures Where Mexico Leads the U.S. http://t.co/C5tGA4wGc5,eight straight procedures mexico leads,Medical
8158," @quotes_islam @FayssWorld me2 having Exam on 16th&amp; 18th May- Thurs,Sat- &amp; after that planning to hv a medical treatment. So,Dua 4 me2 ,Ameen",me2 exam thurssat planning hv medical treatment sodua me2 ameen,Medical
8160," Dragon Dictation Delivers up to 99% accuracy and Instant Medical transcription, match that: - http://t.co/sXv5mwccx7",dragon dictation delivers accuracy instant medical transcription match,Medical
8161, \@AP: Parents sue hospital,parents sue hospital removing male genitalia intersex child ss difficult story,Medical
8162," My face looks like I have a medical condition...?? place <tweepy.models.Place object at 0x0291F650> coordinates {u'type': u'Point', u'coordinates': [-83.08621822, 40.11250723]}",looks medical condition,Medical
8163, Wow. I really admire Angelina Jolie for writing about her double masectomy: http://t.co/xIWGBEHqML,wow admire angelina jolie writing double masectomy,Medical
8164," Dragon Dictation Delivers up to 99% accuracy and Instant Medical transcription, match that: - http://t.co/GSYnaR2os2",dragon dictation delivers accuracy instant medical transcription match,Medical
8165, We celebrate #NationalHospitalWeek by recognizing our @KDMC’s providers and hospital staff!,celebrate #nationalhospitalweek recognizing providers hospital staff,Medical
8166, Awaiting our new arrival. #hospital #babyboy #comingsoon,awaiting arrival #hospital #babyboy #comingsoon,Medical
8168, Ready to get out of the hospital #home!,ready hospital #home,Medical
8169," My Medical Choice, by Angelina Jolie http://t.co/6VzWWh5nPD",medical choice angelina jolie,Medical
8170, My eye doctor is pretty cool.  Sorry if yours isn't as cool as mine #drsmith #fallcreekfamilyvision,eye doctor pretty cool sorry cool mine #drsmith #fallcreekfamilyvision,Medical
8172," the doctor asked me if i had any boobs, i gave her a very sarcy answer",doctor boobs sarcy answer,Medical
8174, grandma you are no doctor either,grandma doctor,Medical
8175, I liked a @YouTube video http://t.co/FjMNG6zWPu Man Cuts off Arm - Drives Ten Miles to Hospital!,liked video cuts arm drives ten miles hospital,Medical
8185, @badxyoruichi *jumps off the horse* Get back? You need to get to a hospital!,jumps horse hospital,Medical
8186, catch me at the doctor in this shirt http://t.co/IuWJHLDfvc,catch doctor shirt,Medical
8188, @gabrielle_ox \I'm too embarrassed to see a doctor,embarrassed doctor ill national television,Medical
8196," A few people say they coming to see me today since I'm outta icu, um ya I'll believe it when I hear my door open &amp; it's not a doctor/nurse",people coming outta icu um ya ill believe hear door doctornurse,Medical
8198, OHSU doctor: Double mastectomy not 1st option: PORTLAND -- An OHSU doctor suggests the double mastectomy Angel... http://t.co/QD6jXOMqdC,ohsu doctor double mastectomy option portland ohsu doctor suggests double mastectomy angel,Medical
8201, \@Azraasaur: I actually feel physically ill when I look at my medical bills. Thank you,actually feel physically ill look medical bills thank america fucking piece shit coming soon #spain,Medical
8202, Photo: dora-did-it: bookwormstache: i vote him the next doctor The Crisscolfer shippers the day of Upfronts http://t.co/QVVb0SBf4O,photo doradidit bookwormstache vote doctor crisscolfer shippers day upfronts,Medical
8205, The Leapfrog Group and the Spring 2013 Hospital Safety Score Release - http://t.co/o2vmN00d9M,leapfrog spring hospital safety score release,Medical
8206, Need a list of every classic title of Doctor Who ever made? We got you covered! See the note pinned to the top of... http://t.co/LM59kuFEsU,list classic title doctor covered note pinned top,Medical
8211, this kaylee girl joking about cutting and being in the hospital makes me wanna put her ass in the hospital. fucking cunt..,kaylee girl joking cutting hospital makes wanna ass hospital fucking cunt,Medical
8214, Naomi really loves these fish at the doctor's office ?? https://t.co/X06gJvbfe2,naomi loves fish doctors office httpstcox06gjvbfe2,Medical
8215, Victory Healthcare Building Cowtown Medical Center http://t.co/UsGpIL0mq2,victory healthcare building cowtown medical center,Medical
8217, @Holly_Autumnxxx hey we had a Doctor Who pick up lines fight can we carry it on this account as my other accout is hacked  it was @menace689,hey doctor pick lines fight carry account accout hacked,Medical
8222, Baby doctor appointment ??????,baby doctor appointment,Medical
8228," @_alexamoore when I got a concussion a couple of weeks ago,my spine went out of alignment. My doctor have me a note saying no PE until furth",concussion couple weeks agomy spine alignment doctor note saying pe furth,Medical
8230, hospital.. great i have an exam tomorrow,hospital exam tomorrow,Medical
